posicion,etiqueta
01010010101,
01010010102,
01010010201,
01010010202,
01010010301,
01010010302,
01010010401,
01010010402,
01010010501,
01010010502,
01010010601,
01010010602,
01010010701,
01010010702,
01010010801,
01010010802,
01010020101,30557690101022075928
01010020102,30557690101224084353
01010020201,
01010020202,
01010020301,30557690101426088146
01010020302,30557690100415061485
01010020401,
01010020402,
01010020501,
01010020502,
01010020601,30557690101831086165
01010020602,30557690100516056920
01010020701,
01010020702,
01010020801,
01010020802,
01010030101,
01010030102,
01010030201,30557690100213022549
01010030202,30557690100921065800
01010030301,
01010030302,
01010030401,
01010030402,
01010030501,
01010030502,
01010030601,
01010030602,
01010030701,
01010030702,
01010030801,
01010030802,
01010040101,30557690101729029081
01010040102,30557690101628038115
01010040201,30557690100213057971
01010040202,30557690101729066730
01010040301,
01010040302,
01010040401,
01010040402,
01010040501,30557690100314050605
01010040502,30557690100819053356
01010040601,
01010040602,
01010040701,30557690101325014485
01010040702,30557690100112092191
01010040801,
01010040802,
01010050101,30557690101022012032
01010050102,30557690100415014817
01010050201,30557690100415030734
01010050202,30557690101628010505
01010050301,
01010050302,
01010050401,
01010050402,
01010050501,
01010050502,
01010050601,
01010050602,
01010050701,
01010050702,
01010050801,
01010050802,
01010060101,
01010060102,
01010060201,
01010060202,
01010060301,
01010060302,
01010060401,30557690100516013840
01010060402,30557690100314063760
01010060501,
01010060502,
01010060601,30557690100819021336
01010060602,30557690100516024313
01010060701,
01010060702,
01010060801,
01010060802,
01010070101,
01010070102,
01010070201,
01010070202,
01010070301,30557690101426027768
01010070302,30557690100921089702
01010070401,
01010070402,
01010070501,
01010070502,
01010070601,30557690100415011484
01010070602,30557690101325018864
01010070701,
01010070702,
01010070801,
01010070802,
01010080101,
01010080102,
01010080201,30557690100617027379
01010080202,30557690101628066770
01010080301,30557690100415044924
01010080302,30557690100819063731
01010080401,
01010080402,
01010080501,
01010080502,
01010080601,
01010080602,
01010080701,
01010080702,
01010080801,
01010080802,
01010090101,
01010090102,
01010090201,
01010090202,
01010090301,30557690100415030276
01010090302,30557690101123073739
01010090401,
01010090402,
01010090501,
01010090502,
01010090601,
01010090602,
01010090701,
01010090702,
01010090801,30557690100415068271
01010090802,30557690101932038111
01010100101,30557690101022023183
01010100102,30557690100921088414
01010100201,
01010100202,
01010100301,
01010100302,
01010100401,30557690100516073644
01010100402,30557690101123053025
01010100501,
01010100502,
01010100601,
01010100602,
01010100701,
01010100702,
01010100801,
01010100802,
01010110101,
01010110102,
01010110201,30557690100819096066
01010110202,30557690101224065472
01010110301,30557690100314013540
01010110302,30557690100921064273
01010110401,30557690101729097147
01010110402,30557690100617081311
01010110501,30557690101527062086
01010110502,30557690100011030987
01010110601,
01010110602,
01010110701,
01010110702,
01010110801,
01010110802,
01010120101,
01010120102,
01010120201,30557690100112087180
01010120202,30557690100314076154
01010120301,
01010120302,
01010120401,
01010120402,
01010120501,
01010120502,
01010120601,
01010120602,
01010120701,30557690101831068763
01010120702,30557690100415074677
01010120801,
01010120802,
01010130101,
01010130102,
01010130201,
01010130202,
01010130301,
01010130302,
01010130401,30557690101022078319
01010130402,30557690100011081720
01010130501,
01010130502,
01010130601,
01010130602,
01010130701,
01010130702,
01010130801,
01010130802,
01010140101,
01010140102,
01010140201,
01010140202,
01010140301,30557690100819065210
01010140302,30557690101628069614
01010140401,
01010140402,
01010140501,
01010140502,
01010140601,
01010140602,
01010140701,
01010140702,
01010140801,
01010140802,
01010150101,
01010150102,
01010150201,30557690100112045394
01010150202,30557690101628094642
01010150301,
01010150302,
01010150401,
01010150402,
01010150501,
01010150502,
01010150601,
01010150602,
01010150701,
01010150702,
01010150801,
01010150802,
01010160101,
01010160102,
01010160201,30557690101527010506
01010160202,30557690100516094064
01010160301,30557690101022020198
01010160302,30557690101527010658
01010160401,
01010160402,
01010160501,
01010160502,
01010160601,30557690100921028732
01010160602,30557690101729087154
01010160701,30557690100011072667
01010160702,30557690101831081930
01010160801,
01010160802,
01010170101,
01010170102,
01010170201,
01010170202,
01010170301,
01010170302,
01010170401,
01010170402,
01010170501,
01010170502,
01010170601,
01010170602,
01010170701,30557690100921027946
01010170702,30557690101325059629
01010170801,
01010170802,
01010180101,
01010180102,
01010180201,
01010180202,
01010180301,30557690100718075450
01010180302,30557690101022025835
01010180401,
01010180402,
01010180501,
01010180502,
01010180601,
01010180602,
01010180701,
01010180702,
01010180801,
01010180802,
01010190101,30557690100718014587
01010190102,30557690101831055490
01010190201,
01010190202,
01010190301,
01010190302,
01010190401,30557690100415063729
01010190402,30557690100415050601
01010190501,
01010190502,
01010190601,
01010190602,
01010190701,30557690100011094452
01010190702,30557690100112050154
01010190801,
01010190802,
01010200101,
01010200102,
01010200201,30557690101224064999
01010200202,30557690101831024218
01010200301,
01010200302,
01010200401,
01010200402,
01010200501,
01010200502,
01010200601,
01010200602,
01010200701,
01010200702,
01010200801,
01010200802,
01010210101,30557690100819096300
01010210102,30557690101628083282
01010210201,
01010210202,
01010210301,
01010210302,
01010210401,
01010210402,
01010210501,
01010210502,
01010210601,
01010210602,
01010210701,
01010210702,
01010210801,
01010210802,
01010220101,
01010220102,
01010220201,
01010220202,
01010220301,30557690100819060974
01010220302,30557690101224059075
01010220401,
01010220402,
01010220501,
01010220502,
01010220601,
01010220602,
01010220701,
01010220702,
01010220801,30557690101831051390
01010220802,30557690100314065729
01010230101,
01010230102,
01010230201,30557690101729017275
01010230202,30557690100011035115
01010230301,
01010230302,
01010230401,
01010230402,
01010230501,
01010230502,
01010230601,
01010230602,
01010230701,
01010230702,
01010230801,
01010230802,
01010240101,
01010240102,
01010240201,
01010240202,
01010240301,
01010240302,
01010240401,
01010240402,
01010240501,
01010240502,
01010240601,
01010240602,
01010240701,
01010240702,
01010240801,
01010240802,
01010250101,30557690100213079513
01010250102,30557690101123092537
01010250201,30557690100617079891
01010250202,30557690101426041282
01010250301,
01010250302,
01010250401,
01010250402,
01010250501,
01010250502,
01010250601,30557690101123078048
01010250602,30557690101932076792
01010250701,
01010250702,
01010250801,
01010250802,
01010260101,
01010260102,
01010260201,
01010260202,
01010260301,
01010260302,
01010260401,
01010260402,
01010260501,
01010260502,
01010260601,
01010260602,
01010260701,
01010260702,
01010260801,
01010260802,
01010270101,
01010270102,
01010270201,
01010270202,
01010270301,
01010270302,
01010270401,
01010270402,
01010270501,
01010270502,
01010270601,
01010270602,
01010270701,
01010270702,
01010270801,30557690101527070032
01010270802,30557690101123075066
01010280101,
01010280102,
01010280201,
01010280202,
01010280301,30557690101426088979
01010280302,30557690101628027040
01010280401,30557690101831080000
01010280402,30557690100617030183
01010280501,30557690100314063736
01010280502,30557690101628076013
01010280601,30557690100112032160
01010280602,30557690100314025036
01010280701,
01010280702,
01010280801,
01010280802,
01010290101,
01010290102,
01010290201,
01010290202,
01010290301,30557690101123078772
01010290302,30557690101325018723
01010290401,
01010290402,
01010290501,
01010290502,
01010290601,
01010290602,
01010290701,
01010290702,
01010290801,30557690101426064752
01010290802,30557690100011085110
01010300101,
01010300102,
01010300201,
01010300202,
01010300301,
01010300302,
01010300401,30557690101325056423
01010300402,30557690100718037170
01010300501,30557690100617089571
01010300502,30557690101628052893
01010300601,
01010300602,
01010300701,30557690100516090048
01010300702,30557690100314097571
01010300801,
01010300802,
01010310101,
01010310102,
01010310201,
01010310202,
01010310301,
01010310302,
01010310401,30557690101022035336
01010310402,30557690101527043462
01010310501,30557690101022072177
01010310502,30557690100819066153
01010310601,30557690101729030277
01010310602,30557690101831049775
01010310701,
01010310702,
01010310801,
01010310802,
01010320101,
01010320102,
01010320201,
01010320202,
01010320301,
01010320302,
01010320401,30557690100617098623
01010320402,30557690101932075384
01010320501,
01010320502,
01010320601,
01010320602,
01010320701,30557690101022088230
01010320702,30557690101527061304
01010320801,
01010320802,
01010330101,30557690101932039551
01010330102,30557690100011072991
01010330201,
01010330202,
01010330301,30557690100112031735
01010330302,30557690100921098107
01010330401,
01010330402,
01010330501,
01010330502,
01010330601,
01010330602,
01010330701,
01010330702,
01010330801,
01010330802,
01010340101,
01010340102,
01010340201,30557690101729027113
01010340202,30557690101729052014
01010340301,30557690100718023162
01010340302,30557690101831067691
01010340401,
01010340402,
01010340501,30557690100718048703
01010340502,30557690101831084199
01010340601,
01010340602,
01010340701,30557690100718044898
01010340702,30557690101932086471
01010340801,
01010340802,
01010350101,
01010350102,
01010350201,30557690100011083375
01010350202,30557690101729083813
01010350301,30557690100213024592
01010350302,30557690101325056701
01010350401,
01010350402,
01010350501,
01010350502,
01010350601,
01010350602,
01010350701,
01010350702,
01010350801,
01010350802,
01010360101,30557690101224094644
01010360102,30557690101628050075
01010360201,
01010360202,
01010360301,
01010360302,
01010360401,
01010360402,
01010360501,
01010360502,
01010360601,
01010360602,
01010360701,
01010360702,
01010360801,
01010360802,
01010370101,
01010370102,
01010370201,
01010370202,
01010370301,
01010370302,
01010370401,30557690101932035001
01010370402,30557690100314030955
01010370501,
01010370502,
01010370601,
01010370602,
01010370701,30557690101426054219
01010370702,30557690100921077378
01010370801,
01010370802,
01010380101,30557690100718017012
01010380102,30557690101224052281
01010380201,
01010380202,
01010380301,
01010380302,
01010380401,30557690100819045914
01010380402,30557690101325081449
01010380501,30557690101932013893
01010380502,30557690101022043789
01010380601,
01010380602,
01010380701,
01010380702,
01010380801,
01010380802,
01010390101,
01010390102,
01010390201,
01010390202,
01010390301,30557690101932047733
01010390302,30557690101325010772
01010390401,
01010390402,
01010390501,
01010390502,
01010390601,30557690100213037810
01010390602,30557690101325054932
01010390701,30557690100819055983
01010390702,30557690101426042766
01010390801,30557690101426015413
01010390802,30557690101527027595
01010400101,
01010400102,
01010400201,30557690101123078723
01010400202,30557690101426071791
01010400301,
01010400302,
01010400401,
01010400402,
01010400501,30557690100718046130
01010400502,30557690100213059329
01010400601,
01010400602,
01010400701,30557690100213046784
01010400702,30557690101628071439
01010400801,
01010400802,
01010410101,
