[init] loaded_rows=7680 placed_boxes=903 empty_rows=6777
[t=00001] inbound_count=32 active=32 started=32 finished=0 cross_dock_started=17
[t=00002] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00003] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00004] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00005] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00006] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00007] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00008] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00009] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00010] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00011] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00012] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00013] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00014] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00015] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00016] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00017] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00018] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00019] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00020] inbound_count=0 active=32 started=0 finished=17 cross_dock_started=0
[t=00021] inbound_count=17 active=32 started=17 finished=0 cross_dock_started=7
[t=00022] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00023] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00024] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00025] inbound_count=0 active=32 started=0 finished=1 cross_dock_started=0
[t=00026] inbound_count=1 active=32 started=1 finished=3 cross_dock_started=1
[t=00027] inbound_count=3 active=32 started=3 finished=2 cross_dock_started=1
[t=00028] inbound_count=2 active=32 started=2 finished=3 cross_dock_started=1
[t=00029] inbound_count=3 active=32 started=3 finished=1 cross_dock_started=1
[t=00030] inbound_count=1 active=32 started=1 finished=0 cross_dock_started=0
[t=00031] inbound_count=0 active=32 started=0 finished=1 cross_dock_started=0
[t=00032] inbound_count=1 active=32 started=1 finished=0 cross_dock_started=0
[t=00033] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00034] inbound_count=0 active=32 started=0 finished=1 cross_dock_started=0
[t=00035] inbound_count=1 active=32 started=1 finished=0 cross_dock_started=0
[t=00036] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00037] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00038] inbound_count=0 active=32 started=0 finished=1 cross_dock_started=0
[t=00039] inbound_count=1 active=32 started=1 finished=0 cross_dock_started=0
[t=00040] inbound_count=0 active=32 started=0 finished=7 cross_dock_started=0
[t=00041] inbound_count=7 active=32 started=7 finished=0 cross_dock_started=4
[t=00042] inbound_count=0 active=32 started=0 finished=0 cross_dock_started=0
[t=00043] inbound_count=0 active=32 started=0 finished=1 cross_dock_started=0
[t=00044] inbound_count=1 active=32 started=1 finished=0 cross_dock_started=0
[t=00045] inbound_count=0 active=32 started=0 finished=3 cross_dock_started=0
[t=00046] inbound_count=3 active=32 started=3 finished=2 cross_dock_started=0
[t=00047] inbound_count=2 active=32 started=2 finished=3 cross_dock_started=0
[t=00048] inbound_count=3 active=32 started=3 finished=2 cross_dock_started=1
[t=00049] inbound_count=2 active=32 started=2 finished=1 cross_dock_started=1
[t=00050] inbound_count=1 active=32 started=1 finished=1 cross_dock_started=0
[done] stopped_early=false completed_seconds=50 lines_written=51
[counters] started_tasks inbound_cross_dock=34 inbound_store_and_pick=47 outbound_only=0 relocate=0
[counters] active_tick_presence inbound_cross_dock=605 inbound_store_and_pick=995 outbound_only=0 relocate=0
[counters] shipped boxes_total=50 pallets_total=0
